tumor,signal,Signature_3_ml,Signature_3_c,Signature_3_l_rat,Signature_3_wl,rat_sig3,Signature_other_c4_ml,exp_sig3,total_snvs,Signature_3_c1_ml,Signature_3_c2_ml,Signature_3_c3_ml,Signature_3_c4_ml
PD18045,0,0.015442393,0.435060544,0.438303501,0.999998711,0.243240459,1.10E-11,8.270175605,34,3.51E-09,3.93E-14,0.015442389,9.53E-10
PD18049,0,0.393541352,0.333510117,0,0.005740199,0,0.198166042,0,11,0.109116357,0.097523181,0.013889205,0.173012609
PD18149,0,0.845228701,0.396237167,0.622375107,0.906012047,0.487590054,0.035740768,6.826260761,14,0.33224306,0.063974546,0.207661543,0.241349553
PD18251,1,0.285897416,0.187047809,0,0.006967808,0,0.167417392,0,5,0.077381891,0.087677469,0.030921158,0.089916899
PD18257,0,0.197601395,0.32995228,0,0.000306079,0,0.309738189,0,12,0.049568236,0.02044686,0.027450656,0.100135643
PD18259,1,0.439387704,0.202648759,0.457366046,0.005744996,0.177558049,0.094282516,0.887790247,5,0.117111416,0.17233123,0.021407211,0.128537847
PD18264,0,0.006579618,0.258460192,0,3.50E-20,0,0.000999117,0,21,2.39E-06,0,0.006569776,7.45E-06
PD18269,0,0.750119374,0.273713797,0.57811454,0.993708415,0.744965726,0.03763064,3.724828629,5,0.229823322,0.297743658,0.029167189,0.193385206
PD18733,0,0.395154521,0.240929849,0,0.055707318,0,0.121443202,0,8,0.085845439,0.151202112,0.008668679,0.149438291
PD18734,0,0.133299142,0.183393442,0,3.29E-07,0,0.158603907,0,9,0.019411091,0.058266632,0.002144028,0.053477391
PD18749,0,0.302027327,0.364676881,0,0.996096241,0,0.000948542,0,14,0.001634437,2.62E-05,0.298895087,0.001471621
PD18751,0,0.045374581,0.14448064,0,2.01E-13,0,0.268289571,0,9,0.005012972,0,0.027579492,0.012782117
PD18771,0,0.126467341,0.154377404,0,2.59E-08,0,0.362122893,0,8,0.035548222,0.027466316,0.012434825,0.051017978
PD18776,0,0.39362477,0.238231516,0,0.811568308,0,0.042204837,0,6,0.039466065,0.010405129,0.298830896,0.04492268
PD22036,0,0.419399623,0.236163279,0,0.003069393,0,0.124876102,0,7,0.08750249,0.036001276,0.188927932,0.106967925
PD22355,1,0.600268093,0.304105539,0,0.080774918,0,0.077216681,0,15,0.157340479,0.233999898,0.002960667,0.205967049
PD22357,0,0.054694027,0.398457618,0.526418508,0.919806886,0.43037335,0.000139601,6.025226906,14,0.000207275,2.90E-06,0.054322313,0.000161539
PD22358,1,0.40531283,0.251277766,0,0.962126594,0,0.027833823,0,5,0.056999716,0.019788256,0.271279549,0.057245309
PD22359,0,0.115525341,0.13852531,0,1.53E-07,0,0.252581767,0,5,0.025294183,0,0.045746971,0.044484187
PD22360,1,0.419593646,0.355463609,0,0.999962781,0,0.00090105,0,8,0.040293049,0.00346751,0.353453014,0.022380074
PD22363,1,0.923224103,0.411358755,0.928804736,0.980328859,0.497164261,0.021585111,7.95462818,16,0.377252292,0.203433925,0.052654008,0.289883878
PD22364,0,0.051254659,0.202358642,0,0.000160656,0,0.339910682,0,8,0.009906459,0.011450346,0.00549515,0.024402705
PD22365,0,0.528831479,0.226830913,0,0.309905513,0,0.092214104,0,5,0.143342675,0.062091637,0.18384172,0.139555447
PD22366,1,0.797417526,0.361268312,0,0.028083747,0,0.087560613,0,16,0.323292168,0.097705618,0.038977838,0.337441901
PD23554,1,0.989280933,0.372541415,0.952927012,0.993238059,0.758781156,0.002061859,8.346592716,11,0.516026262,0.192370587,0.048496053,0.232388031
PD23558,1,0.18689078,0.276724405,0,1.76E-08,0,0.033454404,0,27,0.035890047,0.039928868,0.00074406,0.110327804
PD23559,1,0.735850385,0.338086264,0.910591746,0.997537098,0.490362161,0.047399542,5.884345936,12,0.250137524,0.255400074,0.006618311,0.223694476
